,county_fips_code,county,state,infection_rate
0,6073,San Diego County,CA,0.15428453814398888
1,1097,Mobile County,AL,0.15741761654687286
2,34015,Gloucester County,NJ,0.1615720357645223
3,26065,Ingham County,MI,0.15580610520987942
4,29077,Greene County,MO,0.15254650322582602
5,42007,Beaver County,PA,0.15798411371860854
6,55133,Waukesha County,WI,0.154060820576934
7,6097,Sonoma County,CA,0.15280644024397264
8,13057,Cherokee County,GA,0.15604317297399653
9,25027,Worcester County,MA,0.166628606835199
10,42089,Monroe County,PA,0.1748430573745513
11,48201,Harris County,TX,0.1548238022580191
12,16083,Twin Falls County,ID,0.1566578931886605
13,21059,Daviess County,KY,0.15582556460766708
14,25011,Franklin County,MA,0.16382356480162125
15,48309,McLennan County,TX,0.15257556805118794
16,48321,Matagorda County,TX,0.15774642420713977
17,17031,Cook County,IL,0.16895344519148728
18,1089,Madison County,AL,0.15359228837777225
19,9013,Tolland County,CT,0.15937745164170153
20,24021,Frederick County,MD,0.15974297097977977
21,29099,Jefferson County,MO,0.1544800118870787
22,36053,Madison County,NY,0.15807439358841227
23,12113,Santa Rosa County,FL,0.15412164211000975
24,12117,Seminole County,FL,0.15400505930387712
25,25023,Plymouth County,MA,0.17486463128605717
26,45083,Spartanburg County,SC,0.15378048793199597
27,6019,Fresno County,CA,0.15249245071319115
28,53063,Spokane County,WA,0.1538555745558833
29,22033,East Baton Rouge Parish,LA,0.16519586893777627
30,28151,Washington County,MS,0.15763267970879172
31,13077,Coweta County,GA,0.15544982309340025
32,17111,McHenry County,IL,0.1560253374951173
33,9009,New Haven County,CT,0.1738114471260383
34,39035,Cuyahoga County,OH,0.15666078666758793
35,42045,Delaware County,PA,0.16822575152581312
36,13223,Paulding County,GA,0.1543292338684443
37,36083,Rensselaer County,NY,0.15582113459150143
38,36105,Sullivan County,NY,0.180176641802477
39,37071,Gaston County,NC,0.15308707957051826
40,42003,Allegheny County,PA,0.15486265356590878
41,13045,Carroll County,GA,0.16149061789304472
42,19183,Washington County,IA,0.17227285833523032
43,34041,Warren County,NJ,0.1742930516369486
44,42107,Schuylkill County,PA,0.15817712349408247
45,37063,Durham County,NC,0.15667916410911484
46,45051,Horry County,SC,0.15321295284286804
47,34005,Burlington County,NJ,0.16604310077913928
48,42017,Bucks County,PA,0.16258244243893727
49,1127,Walker County,AL,0.15699416990706486
50,13247,Rockdale County,GA,0.1574118406383853
51,18079,Jennings County,IN,0.16057496544678806
52,48355,Nueces County,TX,0.15214675864843963
53,28047,Harrison County,MS,0.15410312273057372
54,45079,Richland County,SC,0.15762065149388094
55,24510,Baltimore City,MD,0.16022274268404788
56,4019,Pima County,AZ,0.15468097167357822
57,6107,Tulare County,CA,0.15455798539237875
58,4013,Maricopa County,AZ,0.1536352254465499
59,6111,Ventura County,CA,0.15326505433242266
60,53077,Yakima County,WA,0.16393977120783115
61,6053,Monterey County,CA,0.15247266065266302
62,22057,Lafourche Parish,LA,0.17432253570184605
63,25001,Barnstable County,MA,0.16419525173325822
64,44007,Providence County,RI,0.1703596371647852
65,8123,Weld County,CO,0.16581884573083128
